id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16630828,Charming apartment at Nørrebro!,109847712,Julie And Andreas,,Nrrebro,55.693880841014106,12.548674057516358,Entire home/apt,451,4,5,2018-08-05,0.23,1,0
16630947,Entire apartment w/ central location and balcony!,333218,Christian,,Frederiksberg,55.68619260044182,12.533665612199577,Entire home/apt,599,4,5,2017-11-08,0.25,1,0
16631303,"Luxurious apt close to the center, UN and Mermaid",17392753,Benedetta,,sterbro,55.698606806935175,12.594476597962233,Entire home/apt,1422,1,95,2018-10-03,4.57,1,295
16631595,Cosy home in Nørrebro,37767720,Frank,,Nrrebro,55.69381143017102,12.546746327428261,Entire home/apt,503,3,6,2017-08-12,0.38,1,0
16631653,"Cosy room in central Copenhagen, fully equipped",63265677,Sabine,,Indre By,55.69014840448363,12.57184395939509,Private room,283,1,3,2017-07-07,0.14,1,0
16631725,Nice room in small apartment 10min from central st,109857938,Anita Nørby,,Vesterbro-Kongens Enghave,55.66753399298792,12.546103606741353,Private room,277,2,5,2018-01-29,0.42,1,0
16638369,Modern apartment in  downtown CPH,12821672,Susanne,,Indre By,55.67936658520197,12.562147173197733,Entire home/apt,1500,5,8,2018-10-03,0.43,1,22
16639221,Cozy apartment at Nørrebro,8665691,Christine,,Nrrebro,55.70508702402791,12.549658897897748,Entire home/apt,348,3,4,2017-08-13,0.18,1,0
16639378,Cosy apartment in trendy Nørrebro close to center,95899193,Camilla,,Nrrebro,55.69977555698913,12.552448545701758,Entire home/apt,554,4,8,2017-08-24,0.39,1,0
16639970,Hyggeligt værelse på Amager,109950575,Sigrid,,Amager st,55.65846062978677,12.608758318841359,Private room,193,1,0,,,1,0
16641785,Lovely 2br apartment in central Østerbro,101374957,Julie,,sterbro,55.70669336144605,12.579575103996879,Entire home/apt,599,3,1,2017-05-11,0.06,1,0
16643423,Amazing apartment with fantastic view of the lakes,29616575,Kim,,Indre By,55.69347378477633,12.575337790965094,Entire home/apt,999,2,4,2018-08-09,0.19,3,0
16643983,Light+cosy apartment on Inner Nørrebro,7233070,Kåre,,Nrrebro,55.69348288245655,12.553446293313174,Entire home/apt,754,2,20,2018-09-02,0.98,1,0
16644612,Bright and cozy apartment - Central in Copenhagen,30359202,Daniel,,sterbro,55.703666845014794,12.577944684430397,Entire home/apt,1998,3,20,2018-08-24,1.20,1,4
16646054,Best Apartment in the BeSt Location!,22313516,Katrine,,Nrrebro,55.69621925907074,12.53896898074784,Entire home/apt,847,5,53,2018-07-10,2.48,6,58
